word;morpheme;propper/common;order;previous letter;gender
справулечек;ул;common;first;в;f
справулечек;ечек;common;second;л;f
хняшечка;яш;common;first;н;f
хняшечка;ечк;common;second;ш;f
совятки;ят;common;first;в;m
совятки;к;common;second;т;m
кисуля;ул;common;first;с;f
сламечка;ечк;common;first;м;f
гринписьки;к;common;first;с;f
пачпортинка;инк;common;first;т;f
сякуха;ух;common;first;к;f
евреюшка;юшк;common;first;е;c
замерзайкой;айк;common;first;з;f
леляночка;очк;common;second;н;f
заколдовка;к;common;second;в;f
зачинателец;ец;common;third;л;m
галюники;ник;common;first;ю;m
сыночек;очек;common;first;н;m
дочурка;к;common;first;р;f
бабуля;ул;common;first;б;f
солнышко;ышк;common;first;н;n
бородища;ищ;common;first;д;f
детина;ин;common;first;т;f
казенщина;щин;common;first;н;f
юбчонка;онк;common;first;ч;f
хлюпик;ик;common;first;п;m
хапуга;уг;common;first;п;f
сестрёнка;ёнк;common;first;р;f
сестричка;ичк;common;first;р;f
Людочка;очк;propper;first;д;f
ладошки;к;common;first;ш;f
конвертик;ик;common;first;т;m
почтальонша;ш;common;first;н;f
девочка;очк;common;first;в;f
Катюшка;юшк;propper;first;т;f
Катенька;еньк;propper;first;т;f
Иванушка;ушк;propper;first;н;m
Ивашка;к;propper;first;ш;m
Оленька;еньк;propper;first;л;f
Олечка;ечк;propper;first;л;f
Олёк;ёк;propper;first;л;f
Олюша;юш;propper;first;л;f
Олюшенька;юш;propper;first;л;f
Олюшенька;еньк;propper;second;ш;f
Олюшечка;юш;propper;first;л;f
Олюшечка;ечк;propper;second;ш;f
Олюлька;юль;propper;first;л;f
Олюлька;к;propper;second;л;f
Ольгунушка;ун;propper;first;г;f
Ольгунушка;ушк;propper;second;н;f
Ольгушонок;уш;propper;first;г;f
Ольгушонок;онок;propper;second;ш;f
Ольгуночка;ун;propper;first;г;f
Ольгуночка;очк;propper;second;н;f
Ольгулинька;ул;propper;first;г;f
Ольгулинька;иньк;propper;second;л;f
Ольгунка;ун;propper;first;г;f
Ольгунка;к;propper;second;н;f
Олёчек;ёчек;propper;first;л;f
Олюньчик;юнь;propper;first;л;f
Олюньчик;чик;propper;second;н;f
Олюнка;юн;propper;first;л;f
Олюнка;к;propper;second;н;f
Гулька;к;propper;first;л;f
Ольгушечка;уш;propper;first;г;f
Ольгушечка;ечк;propper;second;ш;f
Олик;ик;propper;first;л;f
Ванечка;ечк;propper;first;н;m
Ванюшечка;юш;propper;first;н;m
Ванюшечка;ечк;propper;second;ш;m
Ванюша;юш;propper;first;н;m
Ванёчек;ёчек;propper;first;н;m
Ванёк;ёк;propper;first;н;m
Ваньчик;чик;propper;first;н;m
Ванюрочка;юр;propper;first;н;m
Ванюрочка;очк;propper;second;р;m
Тоник;ик;propper;first;н;m
Ивочка;очк;propper;first;в;f
Юрик;ик;propper;first;р;m
Юрка;к;propper;first;р;m
Юрище;ищ;propper;first;р;m
Юрашка;аш;propper;first;р;m
Юрашка;к;propper;second;ш;m
Юришка;иш;propper;first;р;m
Юришка;к;propper;second;ш;m
Верочка;очк;propper;first;р;f
Юлечка;ечк;propper;first;л;f
Коленька;еньк;propper;first;л;m
Мишутка;ут;propper;first;ш;m
